epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
34,1251.56,1.60635,1.68856,1.73799,0.5832,0.54338,0.56322,0.30082,1.46877,2.9479,1.77046,0.00826477,0.00826477,0.00826477
35,1288.32,1.59559,1.70754,1.72953,0.616,0.5567,0.58641,0.30437,1.51634,3.34038,1.81101,0.00816514,0.00816514,0.00816514
36,1325.03,1.57708,1.65679,1.74023,0.6373,0.60176,0.60484,0.31307,1.5167,2.80782,1.78569,0.00806337,0.00806337,0.00806337
37,1361.88,1.5679,1.6361,1.68819,0.48995,0.58904,0.50773,0.26239,1.48517,2.32467,1.78325,0.00795954,0.00795954,0.00795954
38,1398.42,1.52239,1.66786,1.70552,0.68041,0.59301,0.62326,0.34025,1.39486,3.03482,1.70299,0.00785371,0.00785371,0.00785371
39,1434.93,1.52059,1.54417,1.66586,0.68371,0.54338,0.62595,0.34409,1.42935,2.57804,1.7408,0.00774596,0.00774596,0.00774596
40,1471.47,1.50321,1.57318,1.67008,0.51098,0.621,0.59327,0.30823,1.45653,2.09074,1.7693,0.00763637,0.00763637,0.00763637
41,1507.82,1.52514,1.603,1.69057,0.61092,0.50685,0.59241,0.31276,1.51065,3.36689,1.8059,0.007525,0.007525,0.007525
42,1544.16,1.49861,1.551,1.65054,0.67248,0.60274,0.64385,0.34921,1.39955,2.24336,1.6887,0.00741194,0.00741194,0.00741194
43,1580.64,1.47392,1.51422,1.62439,0.64789,0.61644,0.63163,0.338,1.46147,2.72582,1.73954,0.00729725,0.00729725,0.00729725
44,1616.92,1.502,1.51183,1.63458,0.60378,0.6758,0.64059,0.36055,1.40276,2.10936,1.74072,0.00718103,0.00718103,0.00718103
45,1653.46,1.50269,1.54731,1.66477,0.70649,0.59351,0.66907,0.35396,1.43077,1.93822,1.75118,0.00706335,0.00706335,0.00706335
46,1689.89,1.44288,1.52283,1.64704,0.58958,0.6621,0.64955,0.37474,1.33853,2.72048,1.67293,0.00694428,0.00694428,0.00694428
47,1726.33,1.44729,1.5388,1.62422,0.62084,0.66667,0.67961,0.39554,1.35231,2.07587,1.6536,0.00682392,0.00682392,0.00682392
48,1762.84,1.4371,1.4969,1.62041,0.63012,0.67123,0.66748,0.39243,1.34857,2.19518,1.67559,0.00670234,0.00670234,0.00670234
49,1799.31,1.42092,1.45449,1.58912,0.56911,0.6484,0.62824,0.35872,1.36398,2.10755,1.6803,0.00657963,0.00657963,0.00657963
50,1835.73,1.44613,1.44291,1.60504,0.645,0.6758,0.67322,0.37591,1.45712,1.99842,1.73704,0.00645588,0.00645588,0.00645588
51,1872.06,1.47127,1.4503,1.63707,0.6508,0.58447,0.65295,0.38062,1.33902,1.79818,1.66777,0.00633115,0.00633115,0.00633115
